@relation census_train

@attribute age numeric
@attribute workclass { Private, Self-emp-not-inc, Self-emp-inc, Federal-gov, Local-gov, State-gov, Without-pay, Never-worked, ? }
@attribute education-num numeric
@attribute marital-status { Married-civ-spouse, Divorced, Never-married, Separated, Widowed, Married-spouse-absent, Married-AF-spouse }
@attribute occupation { Tech-support, Craft-repair, Other-service, Sales, Exec-managerial, Prof-specialty, Handlers-cleaners, Machine-op-inspct, Adm-clerical, Farming-fishing, Transport-moving, Priv-house-serv, Protective-serv, Armed-Forces, ? }
@attribute race { White, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Black }
@attribute sex { Female, Male }
@attribute capital-gainB numeric
@attribute hours-per-week numeric
@attribute native-country { United-States, Cambodia, England, Puerto-Rico, Canada, Germany, Outlying-US(Guam-USVI-etc), India, Japan, Greece, South, China, Cuba, Iran, Honduras, Philippines, Italy, Poland, Jamaica, Vietnam, Mexico, Portugal, Ireland, France, Dominican-Republic, Laos, Ecuador, Taiwan, Haiti, Columbia, Hungary, Guatemala, Nicaragua, Scotland, Thailand, Yugoslavia, El-Salvador, Trinadad&Tobago, Peru, Hong, Holand-Netherlands, ? }
@attribute target { 1, 0 }

@data
47,Self-emp-not-inc,9,Widowed,Exec-managerial,White,Female,0,30,United-States,1
44,Private,11,Widowed,Exec-managerial,White,Female,0,30,United-States,1
33,Private,9,Married-civ-spouse,Sales,White,Male,0,40,United-States,0
55,Private,13,Married-civ-spouse,Exec-managerial,White,Male,1,50,United-States,0
19,Private,9,Never-married,Sales,White,Male,0,30,United-States,1
28,Private,10,Never-married,Other-service,Black,Male,0,14,United-States,1
27,Private,7,Married-civ-spouse,Other-service,Black,Female,0,32,United-States,1
50,Private,4,Married-civ-spouse,Machine-op-inspct,White,Male,0,20,United-States,1
22,Private,7,Never-married,Craft-repair,White,Male,0,40,United-States,1
40,State-gov,13,Married-civ-spouse,Adm-clerical,White,Male,0,45,United-States,0
25,Private,10,Never-married,Adm-clerical,White,Female,0,40,United-States,1
26,Local-gov,9,Never-married,Craft-repair,White,Male,0,40,United-States,1
22,Private,13,Never-married,Sales,White,Male,0,25,United-States,1
42,Private,10,Never-married,Handlers-cleaners,Black,Female,0,40,United-States,1
38,Self-emp-inc,13,Divorced,Exec-managerial,White,Male,0,40,United-States,1
55,Private,7,Married-civ-spouse,Other-service,White,Male,0,30,United-States,1
32,Private,9,Married-civ-spouse,Sales,White,Male,0,40,United-States,1
22,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,45,United-States,1
29,Private,13,Never-married,Sales,White,Male,0,40,United-States,1
46,State-gov,14,Married-civ-spouse,Exec-managerial,White,Male,0,45,United-States,0
31,Private,10,Married-civ-spouse,Exec-managerial,White,Male,0,40,United-States,0
58,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,White,Male,0,16,United-States,0
42,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,45,United-States,1
18,Private,9,Never-married,Handlers-cleaners,White,Male,0,25,United-States,1
58,Local-gov,9,Divorced,Exec-managerial,White,Male,0,33,United-States,1
54,Private,9,Married-civ-spouse,Prof-specialty,White,Male,0,40,United-States,0
34,Private,14,Never-married,Prof-specialty,White,Male,0,40,United-States,1
26,Private,13,Never-married,Adm-clerical,White,Female,0,40,United-States,1
61,Private,8,Married-civ-spouse,Exec-managerial,White,Male,0,60,United-States,1
46,Private,6,Married-civ-spouse,Handlers-cleaners,Black,Male,0,45,United-States,1
36,Private,10,Married-civ-spouse,Exec-managerial,White,Male,0,45,United-States,0
24,Private,11,Married-civ-spouse,Machine-op-inspct,White,Male,0,45,United-States,1
40,Private,10,Married-civ-spouse,Machine-op-inspct,White,Male,0,37,United-States,1
33,Self-emp-inc,9,Married-civ-spouse,Sales,White,Male,0,50,United-States,0
47,Private,9,Divorced,Sales,White,Female,0,45,United-States,1
34,Private,14,Never-married,Exec-managerial,White,Male,0,40,United-States,1
56,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,White,Male,1,40,United-States,0
28,?,9,Married-civ-spouse,?,White,Female,0,38,United-States,0
37,Private,13,Widowed,Exec-managerial,White,Female,0,55,United-States,1
44,Private,9,Divorced,Sales,Black,Female,0,40,United-States,1
64,?,10,Married-civ-spouse,?,White,Male,0,8,United-States,1
53,?,8,Married-civ-spouse,?,White,Female,0,40,Italy,1
23,Private,9,Never-married,Machine-op-inspct,White,Male,0,50,United-States,1
34,State-gov,13,Married-spouse-absent,Farming-fishing,Black,Male,0,40,?,1
22,Private,9,Never-married,Other-service,White,Female,0,45,United-States,1
33,Private,13,Married-civ-spouse,Exec-managerial,White,Male,0,40,United-States,0
39,Private,13,Separated,Prof-specialty,White,Male,0,50,United-States,0
47,Private,10,Divorced,Adm-clerical,Black,Female,0,37,United-States,1
79,?,4,Widowed,?,White,Male,0,40,United-States,1
26,Private,9,Never-married,Prof-specialty,Black,Female,0,55,United-States,1
31,Private,10,Divorced,Exec-managerial,White,Female,0,40,United-States,1
34,Private,10,Married-civ-spouse,Craft-repair,White,Male,0,50,United-States,1
42,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,White,Female,0,50,United-States,0
19,Private,9,Never-married,Machine-op-inspct,White,Female,0,40,United-States,1
27,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,0,40,United-States,0
51,Local-gov,10,Married-civ-spouse,Protective-serv,White,Male,0,40,United-States,0
28,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,White,Male,0,50,United-States,1
36,Private,10,Divorced,Prof-specialty,White,Female,0,45,United-States,1
45,Local-gov,13,Divorced,Prof-specialty,White,Female,0,40,United-States,1
50,Private,11,Married-civ-spouse,Prof-specialty,White,Male,0,40,United-States,0
34,Self-emp-inc,13,Married-civ-spouse,Sales,White,Male,0,54,United-States,1
45,Private,4,Married-civ-spouse,Craft-repair,Black,Male,0,40,United-States,1
73,Local-gov,9,Married-civ-spouse,Exec-managerial,White,Male,0,20,United-States,1
34,Private,13,Married-civ-spouse,Prof-specialty,White,Female,0,50,United-States,0
31,Private,10,Married-civ-spouse,Sales,White,Male,0,55,United-States,0
19,Private,7,Never-married,Sales,White,Male,0,12,United-States,1
25,Private,10,Never-married,Other-service,White,Female,0,50,United-States,1
38,Federal-gov,11,Divorced,Craft-repair,White,Female,1,40,United-States,1
39,Private,13,Married-civ-spouse,Transport-moving,White,Male,0,40,United-States,1
23,Private,13,Never-married,Tech-support,Black,Female,0,32,United-States,1
49,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,40,United-States,1
33,Federal-gov,9,Never-married,Other-service,White,Male,0,32,United-States,1
21,Private,3,Never-married,Machine-op-inspct,White,Male,0,38,Mexico,1
31,Private,11,Separated,Craft-repair,White,Male,0,40,United-States,1
23,Private,13,Never-married,Exec-managerial,White,Female,0,45,United-States,1
34,Private,13,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0,40,Philippines,1
75,?,10,Married-civ-spouse,?,White,Male,0,13,United-States,1
39,Private,9,Never-married,Craft-repair,White,Male,0,40,United-States,1
52,Self-emp-inc,9,Married-civ-spouse,Sales,White,Male,0,40,United-States,0
63,Local-gov,5,Married-civ-spouse,Transport-moving,White,Male,1,40,United-States,0
41,Private,10,Married-civ-spouse,Craft-repair,White,Male,0,40,United-States,1
46,Private,13,Married-civ-spouse,Prof-specialty,White,Male,1,38,United-States,0
53,Local-gov,9,Married-civ-spouse,Exec-managerial,White,Male,0,40,United-States,1
25,?,5,Separated,?,White,Female,0,40,United-States,1
77,?,10,Married-civ-spouse,?,White,Male,0,35,United-States,1
18,Private,8,Never-married,Priv-house-serv,White,Male,0,40,United-States,1
38,Private,15,Married-civ-spouse,Prof-specialty,White,Male,0,50,United-States,1
55,Private,14,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,50,Thailand,1
34,Private,9,Married-civ-spouse,Tech-support,White,Male,0,40,United-States,0
80,Self-emp-not-inc,9,Married-civ-spouse,Other-service,White,Male,0,30,United-States,1
34,Private,11,Divorced,Tech-support,White,Female,0,60,United-States,1
52,Private,10,Married-civ-spouse,Tech-support,White,Male,1,40,United-States,1
42,Private,9,Never-married,Other-service,Black,Female,0,28,Haiti,1
26,Private,10,Never-married,Sales,White,Female,0,40,United-States,1
31,Private,9,Married-civ-spouse,Transport-moving,White,Male,0,40,United-States,1
25,Local-gov,9,Never-married,Other-service,White,Female,0,35,United-States,1
55,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,0,60,United-States,1
30,Local-gov,9,Married-civ-spouse,Adm-clerical,White,Female,0,40,United-States,0
62,Self-emp-not-inc,10,Married-civ-spouse,Transport-moving,White,Male,0,32,United-States,1
22,Federal-gov,10,Never-married,Adm-clerical,White,Female,0,20,United-States,1
39,?,9,Married-civ-spouse,?,White,Female,0,50,United-States,1
35,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,0,40,United-States,1
28,Private,9,Married-civ-spouse,Sales,White,Female,0,40,United-States,1
47,Private,9,Married-civ-spouse,Transport-moving,White,Male,0,70,United-States,0
44,State-gov,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,40,United-States,1
21,Private,10,Never-married,Sales,White,Male,0,15,United-States,1
35,Private,11,Never-married,Craft-repair,White,Male,0,50,United-States,1
24,Private,13,Married-civ-spouse,Prof-specialty,White,Male,0,40,United-States,0
42,Federal-gov,13,Never-married,Prof-specialty,White,Male,0,40,?,1
28,Private,13,Never-married,Tech-support,White,Male,0,50,United-States,1
21,Private,10,Never-married,Machine-op-inspct,White,Male,0,35,United-States,1
41,Private,6,Never-married,Machine-op-inspct,White,Male,0,40,United-States,1
39,Private,9,Never-married,Other-service,Black,Female,0,40,United-States,1
23,Private,9,Never-married,Handlers-cleaners,White,Male,0,40,United-States,1
72,Self-emp-not-inc,15,Never-married,Prof-specialty,White,Male,0,20,United-States,1
50,Private,10,Married-civ-spouse,Exec-managerial,White,Female,0,50,United-States,1
28,Local-gov,14,Never-married,Prof-specialty,White,Male,0,40,United-States,1
29,Private,10,Never-married,Prof-specialty,White,Female,0,40,United-States,1
26,Private,13,Never-married,Adm-clerical,White,Female,0,40,United-States,1
27,Private,14,Never-married,Exec-managerial,White,Female,0,40,United-States,1
23,Private,9,Divorced,Exec-managerial,White,Female,0,40,United-States,1
61,?,9,Married-civ-spouse,?,White,Male,0,40,United-States,1
29,Private,6,Married-civ-spouse,Craft-repair,White,Male,0,25,United-States,1
21,?,10,Never-married,?,White,Female,0,30,United-States,1
31,Private,7,Married-civ-spouse,Sales,White,Female,0,20,United-States,1
25,Private,9,Married-civ-spouse,Exec-managerial,White,Male,0,75,United-States,1
58,Private,6,Married-civ-spouse,Transport-moving,White,Male,0,40,United-States,0
64,Private,10,Married-civ-spouse,Exec-managerial,White,Female,0,40,United-States,0
46,State-gov,14,Never-married,Exec-managerial,White,Male,0,38,United-States,1
53,?,9,Married-civ-spouse,?,White,Male,0,35,United-States,0
19,Private,9,Never-married,Other-service,Amer-Indian-Eskimo,Female,0,35,United-States,1
42,Private,9,Divorced,Other-service,Black,Male,0,52,United-States,1
18,Private,7,Never-married,Handlers-cleaners,White,Male,0,24,United-States,1
58,Self-emp-inc,13,Married-civ-spouse,Craft-repair,White,Male,1,50,United-States,0
20,Private,10,Never-married,Protective-serv,Black,Male,0,60,United-States,1
35,Federal-gov,9,Married-civ-spouse,Craft-repair,White,Male,0,40,United-States,0
32,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,0,38,United-States,0
23,Private,9,Never-married,Handlers-cleaners,White,Female,0,25,United-States,1
31,Private,10,Divorced,Tech-support,White,Female,0,40,United-States,1
33,Private,13,Married-civ-spouse,Sales,Black,Male,0,55,United-States,1
41,Private,10,Never-married,Machine-op-inspct,White,Female,0,48,United-States,1
22,Private,9,Never-married,Machine-op-inspct,Black,Male,0,40,United-States,1
46,Private,10,Married-civ-spouse,Protective-serv,White,Male,0,40,United-States,0
61,Federal-gov,10,Married-civ-spouse,Transport-moving,Black,Male,0,40,United-States,1
47,Federal-gov,10,Married-civ-spouse,Adm-clerical,Black,Male,0,40,United-States,0
42,Private,9,Married-civ-spouse,Exec-managerial,White,Male,0,55,United-States,0
63,Private,6,Married-civ-spouse,Handlers-cleaners,White,Male,0,40,United-States,1
26,Private,10,Married-civ-spouse,Sales,White,Male,0,40,United-States,1
42,Private,6,Divorced,Adm-clerical,White,Female,0,40,United-States,1
23,Private,10,Married-civ-spouse,Other-service,White,Male,0,40,United-States,1
25,Private,9,Never-married,Machine-op-inspct,White,Male,0,40,United-States,1
30,Private,5,Married-civ-spouse,Other-service,White,Male,0,32,El-Salvador,0
23,Private,9,Never-married,Sales,White,Male,0,40,United-States,1
34,Self-emp-not-inc,11,Never-married,Farming-fishing,White,Male,1,60,United-States,0
30,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,48,United-States,1
39,Private,10,Married-civ-spouse,Craft-repair,White,Male,0,40,United-States,0
30,Private,7,Never-married,Handlers-cleaners,White,Male,0,38,Puerto-Rico,1
38,Local-gov,10,Divorced,Adm-clerical,White,Female,0,38,United-States,1
45,Private,11,Divorced,Exec-managerial,White,Female,0,44,United-States,1
20,Private,10,Never-married,Handlers-cleaners,White,Male,0,16,United-States,1
37,Local-gov,13,Never-married,Prof-specialty,Black,Male,0,40,?,1
33,Private,9,Married-civ-spouse,Adm-clerical,White,Female,0,40,United-States,1
24,Private,13,Never-married,Adm-clerical,White,Male,0,40,United-States,1
42,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,White,Male,0,60,United-States,0
51,Self-emp-not-inc,9,Married-civ-spouse,Sales,Asian-Pac-Islander,Male,0,84,Vietnam,1
56,Local-gov,12,Married-civ-spouse,Tech-support,White,Male,0,45,United-States,0
22,Private,10,Never-married,Handlers-cleaners,White,Male,0,40,United-States,1
52,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,White,Male,0,60,United-States,1
44,Private,13,Divorced,Exec-managerial,White,Female,0,45,United-States,0
34,Private,9,Married-civ-spouse,Adm-clerical,White,Female,0,35,United-States,1
51,Private,10,Divorced,Craft-repair,White,Male,0,42,United-States,0
20,?,10,Never-married,?,White,Male,0,40,United-States,1
19,Private,10,Never-married,Sales,White,Female,0,25,United-States,1
37,Private,13,Married-civ-spouse,Exec-managerial,White,Male,0,40,United-States,0
44,Private,9,Never-married,Handlers-cleaners,White,Male,0,50,United-States,1
22,Private,10,Divorced,Protective-serv,White,Male,0,40,United-States,1
28,Private,9,Never-married,Handlers-cleaners,White,Male,0,60,United-States,1
37,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,40,United-States,1
54,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,White,Male,1,55,United-States,0
26,Private,9,Separated,Handlers-cleaners,White,Male,0,40,Puerto-Rico,1
33,Private,14,Married-civ-spouse,Prof-specialty,White,Male,0,50,United-States,1
45,Local-gov,14,Divorced,Prof-specialty,White,Female,0,42,United-States,1
18,Private,7,Never-married,Other-service,White,Male,0,15,United-States,1
43,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,White,Male,0,60,United-States,0
64,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,White,Male,1,50,?,0
18,Private,9,Never-married,Handlers-cleaners,White,Male,0,20,United-States,1
20,?,10,Never-married,?,White,Male,0,45,United-States,1
57,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,40,United-States,0
41,Private,9,Divorced,Adm-clerical,White,Female,0,42,United-States,1
42,Local-gov,10,Married-civ-spouse,Protective-serv,White,Male,0,72,United-States,0
19,Private,9,Never-married,Sales,White,Female,0,40,United-States,1
